BR,,Belem,91,230 0900,200506,scripts.scp,S200506/,,0,,,0,,0,28800,0,iPass Inc.||258|1|,0,0,,,,,0,6,MODEM,399513,0x4,,,,,,
BR,,Belo Horizonte,31,32813020,546144,scripts.scp,S546144/,,0,,,0,,0,28800,0,iPass Inc.||258|1|,0,,,,,,0,9,MODEM,399513,0x4,,,,,,
BR,,Brasilia,61,3285840,546145,scripts.scp,S546145/,,0,,,0,,0,28800,0,iPass Inc.||258|1|,0,,,,,,0,8,MODEM,399513,0x4,,,,,,
BR,,Campinas,19,3237 1377,512800,scripts.scp,S512800/,,0,,,0,,0,28800,0,iPass Inc.||258|1|,0,,,,,,0,5,MODEM,399513,0x4,,,,,,
BR,,Curitiba,41,310 0120,526865,scripts.scp,S526865/,,0,,,0,,0,28800,0,iPass Inc.||258|1|,0,,,,,,0,8,MODEM,399513,0x4,,,,,,
BR,,Fortaleza,85,3264 3699,200508,scripts.scp,S200508/,,0,,,0,,0,28800,0,iPass Inc.||258|1|,0,0,,,,,0,9,MODEM,399513,0x4,,,,,,
BR,,Maceio,82,241 9944,517478,scripts.scp,S517478/,,0,,,0,,0,28800,0,iPass Inc.||258|1|,0,,,,,,0,8,MODEM,399513,0x4,,,,,,
BR,,Porto Alegre,51,3212 4999,102163,scripts.scp,S102163/,,0,,,0,,0,28800,0,iPass Inc.||258|1|,0,0,,,21/2334746,,0,9,MODEM,399513,0x4,,,,,,
BR,,Recife,81,3421 6262,512801,scripts.scp,S512801/,,0,,,0,,0,28800,0,iPass Inc.||258|1|,0,,,,,,0,9,MODEM,399513,0x4,,,,,,
BR,,Rio de Janeiro,21,25148949,505404,scripts.scp,S505404/,,0,,,0,,0,28800,0,iPass Inc.||258|1|,0,0,,,,,0,10,MODEM,399513,0x4,,,,,,
BR,,Salvador,71,3582777,200510,scripts.scp,S200510/,,0,,,0,,0,28800,0,iPass Inc.||258|1|,0,0,,,,,0,9,MODEM,399513,0x4,,,,,,
BS,,Nassau,242,323 7594,579780,scripts.scp,S579780/,,0,,,0,,0,28800,0,iPass Inc.||259|1|,0,,,,,,0,2,MODEM,402239,0x4,,,,,,
BW,,Gaborone,,3906742,102160,scripts.scp,S102160/,,0,,,0,,0,28800,0,iPass Inc.||261|1|,0,0,,,300876,,0,1,MODEM,2708184,0x4,,,,,,
CG,,Brazzaville,,810039,526943,scripts.scp,S526943/,,0,,,0,,0,28800,0,iPass Inc.||267|1|,0,,,,,,0,1,MODEM,410417,0x4,,,,,,
CG,,Pointe Noire,,947210,102219,scripts.scp,S102219/,,0,,,0,,0,28800,0,iPass Inc.||267|1|,0,0,,,94/1725,,0,1,MODEM,410417,0x4,,,,,,
CI,,Abidjan,,20 32 88 55,102221,scripts.scp,S102221/,,0,,,0,,0,28800,0,iPass Inc.||269|1|,0,0,,,323765,,0,5,MODEM,1930157,0x4,,,,,,
CL,,Antofagasta,55,220 700,503810,scripts.scp,S503810/,,0,,,0,,0,28800,0,iPass Inc.||270|1|,0,0,,,,,0,5,MODEM,413143,0x4,,,,,,
CL,,Concepcion,41,239 514,102201,scripts.scp,S102201/,,0,,,0,,0,28800,0,iPass Inc.||270|1|,0,0,,,2/672 6332,,0,4,MODEM,413143,0x4,,,,,,
CL,,Iquique,57,423 619,102202,scripts.scp,S102202/,,0,,,0,,0,28800,0,iPass Inc.||270|1|,0,0,,,2/672 6332,,0,3,MODEM,413143,0x4,,,,,,
